,Time,Power
221,0.252,2.321659936
222,0.252,2.345775458
223,0.252,2.392553287
224,0.252,2.413603298
225,0.262,2.48017195
226,0.262,2.523086258
227,0.262,2.538247489
228,0.262,2.557420944
229,0.262,2.574084477
230,0.262,2.615288463
231,0.272,2.673936403
232,0.272,2.692030368
233,0.272,2.7052549
234,0.272,2.715918413
235,0.272,2.726417408
236,0.272,2.761068971
237,0.272,2.792853692
238,0.282,2.781095157
239,0.282,2.812276192
240,0.282,2.800412731
241,0.282,2.833496697
242,0.282,2.866088701
243,0.282,2.895396143
244,0.292,2.879707431
245,0.292,2.902156136
246,0.292,2.885517254
247,0.292,2.90611225
248,0.292,2.882485543
249,0.292,2.917727488
250,0.302,2.894990213
251,0.302,2.907456383
252,0.302,2.915232901
253,0.302,2.905113102
254,0.302,2.86868502
255,0.302,2.855781769
256,0.312,2.841346396
257,0.312,2.846655443
258,0.312,2.807796847
259,0.312,2.785598494
260,0.312,2.761833507
261,0.312,2.719155438
262,0.312,2.706656277
263,0.322,2.678457725
264,0.322,2.618571208
265,0.322,2.598520879
266,0.322,2.563669006
267,0.322,2.517927068
268,0.322,2.45934552
269,0.332,2.422106228
270,0.332,2.368842315
271,0.332,2.330495672
272,0.332,2.261995453
273,0.332,2.211607802
274,0.332,2.193120716
275,0.342,2.142610322
276,0.342,2.075487475
277,0.342,2.022971436
278,0.342,1.976683692
279,0.342,1.925113777
280,0.342,1.895696115
281,0.352,1.821994302
282,0.352,1.806015765
283,0.352,1.749415159
284,0.352,1.718362214
285,0.352,1.657757928
286,0.352,1.633760901
287,0.352,1.565567094
288,0.362,1.510140768
289,0.362,1.494442865
290,0.362,1.440025324
291,0.362,1.394703927
292,0.362,1.341757628
293,0.362,1.320662996
294,0.372,1.276277319
295,0.372,1.239634612
296,0.372,1.198339917
297,0.372,1.152601869
298,0.372,1.114438077
299,0.372,1.069678879
300,0.382,1.045764834
301,0.382,0.997291083
302,0.382,0.966804007
303,0.382,0.932302972
304,0.382,0.892018275
305,0.382,0.86639894
306,0.392,0.825026671
307,0.392,0.788114943
308,0.392,0.757775333
309,0.392,0.725930293
310,0.392,0.689365078
311,0.392,0.658813576
312,0.392,0.627085059
313,0.402,0.606306112
314,0.402,0.595924627
315,0.402,0.564581464
316,0.402,0.544917676
317,0.402,0.513469924
318,0.402,0.486258394
319,0.412,0.477397751
320,0.412,0.455617196
321,0.412,0.44161873
322,0.412,0.420973757
323,0.412,0.397125187
324,0.412,0.385965209
325,0.422,0.369958516
326,0.422,0.351658111
327,0.422,0.335299485
328,0.422,0.328975083
329,0.422,0.316028436
330,0.422,0.294986394
331,0.432,0.286080943
332,0.432,0.267429335
333,0.432,0.259056138
334,0.432,0.254955065
335,0.432,0.238673855
336,0.432,0.225701348
337,0.432,0.218010984
338,0.442,0.210414674
339,0.442,0.196725597
340,0.442,0.189489107
341,0.442,0.182336304
342,0.442,0.172932377
343,0.442,0.16503757
344,0.452,0.157033216
345,0.452,0.145148155
346,0.452,0.143678219
347,0.452,0.138243633
348,0.452,0.129121523
349,0.452,0.124838377
350,0.462,0.118722476
351,0.462,0.112994766
352,0.462,0.106426474
353,0.462,0.101845118
354,0.462,0.097388129
355,0.462,0.092924059
356,0.472,0.087129482
357,0.472,0.085479311
358,0.472,0.081575372
359,0.472,0.07552845
360,0.472,0.073339753
361,0.472,0.07058116
362,0.472,0.067922491
363,0.482,0.066652492
364,0.482,0.060228221
365,0.482,0.061085285
366,0.482,0.05559892
367,0.482,0.053501246
368,0.482,0.053255457
369,0.492,0.047746756
370,0.492,0.046944917
371,0.492,0.046192892
372,0.492,0.042197495
373,0.492,0.040972596
374,0.492,0.039762029
375,0.502,0.03856103
376,0.502,0.037365503
377,0.502,0.035167299
378,0.502,0.033120076
379,0.502,0.033285023
380,0.502,0.032088341
381,0.512,0.030118396
382,0.512,0.027282707
383,0.512,0.026155511
384,0.512,0.025466516
385,0.512,0.02543743
386,0.512,0.022776812
387,0.512,0.021234489
388,0.522,0.020130926
389,0.522,0.019867011
390,0.522,0.018261632
391,0.522,0.017606817
392,0.522,0.016960029
393,0.522,0.016323637
394,0.532,0.014853385
395,0.532,0.014264111
396,0.532,0.012255864
397,0.532,0.010984238
398,0.532,0.011228095
399,0.532,0.010035463
400,0.542,0.010281273
401,0.542,0.008900695
402,0.542,0.008238497
403,0.542,0.008175039
404,0.542,0.00725477
405,0.542,0.007731378
406,0.552,0.006864012
407,0.552,0.006564022
408,0.552,0.006780861
409,0.552,0.006506399
410,0.552,0.00649339
411,0.552,0.006489824
412,0.552,0.005982813
413,0.562,0.00599487
414,0.562,0.00578157
415,0.562,0.005571042
416,0.562,0.005361466
